Virender	Sehwag	10001	1000	19	18	0	394	68	21.88	271	145.38	0	2	43	16	91	86	13	4	4	0	3	11	0
Gautam	Gambhir	10002	1000	37	36	2	932	75	27.41	783	119.02	0	7	109	10	335	183	84	28	5	1	3	25	0
MS	Dhoni	10003	1000	49	44	19	822	48	32.88	712	115.44	0	0	55	23	181	402	20	6	9	0	6	10	0
Yuvraj	Singh	10004	1000	40	37	6	968	77	31.22	669	144.69	0	8	61	63	231	239	35	11	4	1	0	23	1
Virat	Kohli	10005	1000	27	25	5	906	78	45.3	697	129.98	0	8	96	19	208	313	31	10	3	1	2	14	0
Suresh	Raina	10006	1000	43	37	9	922	101	32.92	679	135.78	1	3	85	33	206	282	34	11	4	1	3	20	0
Ravichandran	Ashwin	10007	1000	25	6	4	55	17	27.5	47	117.02	0	0	6	1	15	21	1	1	0	0	1	1	0
Harbhajan	Singh	10008	1000	25	11	4	100	21	14.28	83	120.48	0	0	10	4	29	30	2	1	2	0	0	5	0
Ashok	D1000a	10009	1000	9	2	1	22	19	22	24	91.66	0	0	1	0	4	18	0	0	1	0	0	0	0
Rohit	Sharma	100010	1000	42	35	11	739	79	30.79	586	126.1	0	7	61	27	182	262	23	7	8	1	2	11	2
Rav1000ra	Jadeja	100011	1000	21	11	3	77	25	9.62	91	84.61	0	0	3	1	28	49	3	1	2	0	2	4	0
Zaheer	Khan	100012	1000	17	4	2	13	9	6.5	10	130	0	0	0	1	1	5	1	0	0	0	0	2	0
Irfan	Pathan	100013	1000	24	14	7	172	33	24.57	144	119.44	0	0	9	7	37	78	5	1	3	0	0	4	0
Ishant	Sharma	100014	1000	14	3	2	8	5	8	9	88.88	0	0	1	0	3	4	0	0	1	0	0	0	0
Virender	Sehwag	10011	1001	19	18	0	394	68	21.88	271	145.38	0	2	43	16	91	86	13	4	4	0	3	11	0
Gautam	Gambhir	10012	1001	37	36	2	932	75	27.41	783	119.02	0	7	109	10	335	183	84	28	5	1	3	25	0
MS	Dhoni	10013	1001	49	44	19	822	48	32.88	712	115.44	0	0	55	23	181	402	20	6	9	0	6	10	0
Yuvraj	Singh	10014	1001	40	37	6	968	77	31.22	669	144.69	0	8	61	63	231	239	35	11	4	1	0	23	1
Virat	Kohli	10015	1001	27	25	5	906	78	45.3	697	129.98	0	8	96	19	208	313	31	10	3	1	2	14	0
Suresh	Raina	10016	1001	43	37	9	922	101	32.92	679	135.78	1	3	85	33	206	282	34	11	4	1	3	20	0
Ravichandran	Ashwin	10017	1001	25	6	4	55	17	27.5	47	117.02	0	0	6	1	15	21	1	1	0	0	1	1	0
Harbhajan	Singh	10018	1001	25	11	4	100	21	14.28	83	120.48	0	0	10	4	29	30	2	1	2	0	0	5	0
Ashok	D1001a	10019	1001	9	2	1	22	19	22	24	91.66	0	0	1	0	4	18	0	0	1	0	0	0	0
Rohit	Sharma	100110	1001	42	35	11	739	79	30.79	586	126.1	0	7	61	27	182	262	23	7	8	1	2	11	2
Rav1001ra	Jadeja	100111	1001	21	11	3	77	25	9.62	91	84.61	0	0	3	1	28	49	3	1	2	0	2	4	0
Zaheer	Khan	100112	1001	17	4	2	13	9	6.5	10	130	0	0	0	1	1	5	1	0	0	0	0	2	0
Irfan	Pathan	100113	1001	24	14	7	172	33	24.57	144	119.44	0	0	9	7	37	78	5	1	3	0	0	4	0
Ishant	Sharma	100114	1001	14	3	2	8	5	8	9	88.88	0	0	1	0	3	4	0	0	1	0	0	0	0
Virender	Sehwag	10021	1002	19	18	0	394	68	21.88	271	145.38	0	2	43	16	91	86	13	4	4	0	3	11	0
Gautam	Gambhir	10022	1002	37	36	2	932	75	27.41	783	119.02	0	7	109	10	335	183	84	28	5	1	3	25	0
MS	Dhoni	10023	1002	49	44	19	822	48	32.88	712	115.44	0	0	55	23	181	402	20	6	9	0	6	10	0
Yuvraj	Singh	10024	1002	40	37	6	968	77	31.22	669	144.69	0	8	61	63	231	239	35	11	4	1	0	23	1
Virat	Kohli	10025	1002	27	25	5	906	78	45.3	697	129.98	0	8	96	19	208	313	31	10	3	1	2	14	0
Suresh	Raina	10026	1002	43	37	9	922	101	32.92	679	135.78	1	3	85	33	206	282	34	11	4	1	3	20	0
Ravichandran	Ashwin	10027	1002	25	6	4	55	17	27.5	47	117.02	0	0	6	1	15	21	1	1	0	0	1	1	0
Harbhajan	Singh	10028	1002	25	11	4	100	21	14.28	83	120.48	0	0	10	4	29	30	2	1	2	0	0	5	0
Ashok	D1002a	10029	1002	9	2	1	22	19	22	24	91.66	0	0	1	0	4	18	0	0	1	0	0	0	0
Rohit	Sharma	100210	1002	42	35	11	739	79	30.79	586	126.1	0	7	61	27	182	262	23	7	8	1	2	11	2
Rav1002ra	Jadeja	100211	1002	21	11	3	77	25	9.62	91	84.61	0	0	3	1	28	49	3	1	2	0	2	4	0
Zaheer	Khan	100212	1002	17	4	2	13	9	6.5	10	130	0	0	0	1	1	5	1	0	0	0	0	2	0
Irfan	Pathan	100213	1002	24	14	7	172	33	24.57	144	119.44	0	0	9	7	37	78	5	1	3	0	0	4	0
Ishant	Sharma	100214	1002	14	3	2	8	5	8	9	88.88	0	0	1	0	3	4	0	0	1	0	0	0	0
Virender	Sehwag	10031	1003	19	18	0	394	68	21.88	271	145.38	0	2	43	16	91	86	13	4	4	0	3	11	0
Gautam	Gambhir	10012	1003	37	36	2	932	75	27.41	783	119.02	0	7	109	10	335	183	84	28	5	1	3	25	0
MS	Dhoni	10033	1003	49	44	19	822	48	32.88	712	115.44	0	0	55	23	181	402	20	6	9	0	6	10	0
Yuvraj	Singh	10034	1003	40	37	6	968	77	31.22	669	144.69	0	8	61	63	231	239	35	11	4	1	0	23	1
Virat	Kohli	10035	1003	27	25	5	906	78	45.3	697	129.98	0	8	96	19	208	313	31	10	3	1	2	14	0
Suresh	Raina	10036	1003	43	37	9	922	101	32.92	679	135.78	1	3	85	33	206	282	34	11	4	1	3	20	0
Ravichandran	Ashwin	10037	1003	25	6	4	55	17	27.5	47	117.02	0	0	6	1	15	21	1	1	0	0	1	1	0
Harbhajan	Singh	10038	1003	25	11	4	100	21	14.28	83	120.48	0	0	10	4	29	30	2	1	2	0	0	5	0
Ashok	D1003a	10039	1003	9	2	1	22	19	22	24	91.66	0	0	1	0	4	18	0	0	1	0	0	0	0
Rohit	Sharma	100310	1003	42	35	11	739	79	30.79	586	126.1	0	7	61	27	182	262	23	7	8	1	2	11	2
Rav1003ra	Jadeja	100311	1003	21	11	3	77	25	9.62	91	84.61	0	0	3	1	28	49	3	1	2	0	2	4	0
Zaheer	Khan	100312	1003	17	4	2	13	9	6.5	10	130	0	0	0	1	1	5	1	0	0	0	0	2	0
Irfan	Pathan	100313	1003	24	14	7	172	33	24.57	144	119.44	0	0	9	7	37	78	5	1	3	0	0	4	0
Ishant	Sharma	100314	1003	14	3	2	8	5	8	9	88.88	0	0	1	0	3	4	0	0	1	0	0	0	0
Virender	Sehwag	10041	1004	19	18	0	394	68	21.88	271	145.38	0	2	43	16	91	86	13	4	4	0	3	11	0
Gautam	Gambhir	10042	1004	37	36	2	932	75	27.41	783	119.02	0	7	109	10	335	183	84	28	5	1	3	25	0
MS	Dhoni	10043	1004	49	44	19	822	48	32.88	712	115.44	0	0	55	23	181	402	20	6	9	0	6	10	0
